"name","state_initials"
ALTA FLORESTA D'OESTE,RO
ARIQUEMES,RO
CABIXI,RO
CACOAL,RO
CEREJEIRAS,RO
COLORADO DO OESTE,RO
CORUMBIARA,RO
COSTA MARQUES,RO
ESPIGÃO D'OESTE,RO
GUAJARÁ-MIRIM,RO
JARU,RO
JI-PARANÁ,RO
MACHADINHO D'OESTE,RO
NOVA BRASILÂNDIA D'OESTE,RO
OURO PRETO DO OESTE,RO
PIMENTA BUENO,RO
PORTO VELHO,RO
PRESIDENTE MÉDICI,RO
RIO CRESPO,RO
ROLIM DE MOURA,RO
SANTA LUZIA D'OESTE,RO
VILHENA,RO
SÃO MIGUEL DO GUAPORÉ,RO
NOVA MAMORÉ,RO
ALVORADA D'OESTE,RO
ALTO ALEGRE DOS PARECIS,RO
ALTO PARAÍSO,RO
BURITIS,RO
NOVO HORIZONTE DO OESTE,RO
CACAULÂNDIA,RO
CAMPO NOVO DE RONDÔNIA,RO
CANDEIAS DO JAMARI,RO
CASTANHEIRAS,RO
CHUPINGUAIA,RO
CUJUBIM,RO
GOVERNADOR JORGE TEIXEIRA,RO
ITAPUÃ DO OESTE,RO
MINISTRO ANDREAZZA,RO
MIRANTE DA SERRA,RO
MONTE NEGRO,RO
NOVA UNIÃO,RO
PARECIS,RO
PIMENTEIRAS DO OESTE,RO
PRIMAVERA DE RONDÔNIA,RO
SÃO FELIPE D'OESTE,RO
SÃO FRANCISCO DO GUAPORÉ,RO
SERINGUEIRAS,RO
TEIXEIRÓPOLIS,RO
THEOBROMA,RO
URUPÁ,RO
VALE DO ANARI,RO
VALE DO PARAÍSO,RO
ACRELÂNDIA,AC
ASSIS BRASIL,AC
BRASILÉIA,AC
BUJARI,AC
CAPIXABA,AC
CRUZEIRO DO SUL,AC
EPITACIOLÂNDIA,AC
FEIJÓ,AC
JORDÃO,AC
MÂNCIO LIMA,AC
MANOEL URBANO,AC
MARECHAL THAUMATURGO,AC
PLÁCIDO DE CASTRO,AC
PORTO WALTER,AC
RIO BRANCO,AC
RODRIGUES ALVES,AC
SANTA ROSA DO PURUS,AC
SENADOR GUIOMARD,AC
SENA MADUREIRA,AC
TARAUACÁ,AC
XAPURI,AC
PORTO ACRE,AC
ALVARÃES,AM
AMATURÁ,AM
ANAMÃ,AM
ANORI,AM
APUÍ,AM
ATALAIA DO NORTE,AM
AUTAZES,AM
BARCELOS,AM
BARREIRINHA,AM
